Year Month Tmax Tmin PAR Prec CO2 O3
1800 1 -5.3 -14.6 135.43 89.2 281.48 0
1800 2 -8.5 -18.2 205.53 54.4 281.87 0
1800 3 0.5 -9.7 354.39 97 282.21 0
1800 4 7.5 -1.3 462.05 104.5 282.46 0
1800 5 17.6 5.3 491.23 88.6 282.4 0
1800 6 23.1 12 470.2 101.4 281.68 0
1800 7 23.8 13.2 502.88 194.8 280.04 0
1800 8 22.8 11.2 461.54 117 278.44 0
1800 9 20.4 8.9 336.56 122.8 278.41 0
1800 10 14.6 5.4 194.04 123.7 279.45 0
1800 11 3.1 -4.1 93.94 69.3 280.46 0
1800 12 -4.6 -12.4 94.17 100.4 281.1 0
1801 1 -9.1 -18.6 136.98 101.1 281.57 0
1801 2 -3.1 -12.3 190.02 30.2 281.95 0
1801 3 7.8 -2.4 360.2 48.5 282.3 0
1801 4 15.2 3.6 331.73 120.4 282.54 0
1801 5 17.1 5.8 514.53 136.7 282.49 0
1801 6 24.4 11.3 432.55 45.5 281.76 0
1801 7 27 14.7 438.73 123.7 280.13 0
1801 8 26.4 14.1 451.94 121.9 278.53 0
1801 9 22 10.8 265.81 194.8 278.49 0
1801 10 12.2 2.4 187.44 130 279.54 0
1801 11 5.3 -2.3 107.11 64.3 280.54 0
1801 12 -4.2 -12.3 71.09 73.4 281.18 0
1802 1 -9 -20.1 122.94 19.2 281.65 0
1802 2 -1.1 -9.9 187.47 51.3 282.03 0
1802 3 -2.4 -14 338.1 25.5 282.38 0
1802 4 10.2 -1.3 467.33 85.2 282.62 0
1802 5 15.3 5.1 479.08 81 282.57 0
1802 6 22.4 9.8 501.68 70.4 281.84 0
1802 7 24.7 13.6 493.6 158 280.2 0
1802 8 24.9 14.2 483.06 96.6 278.6 0
1802 9 17 5.6 371.01 58.2 278.57 0
1802 10 12.7 1.5 184.32 36.6 279.61 0
1802 11 4.6 -4 109.07 116.7 280.61 0
1802 12 -2 -11.7 81.54 25 281.25 0
1803 1 -5.8 -14.6 145.56 76.6 281.72 0
1803 2 -7.3 -17.2 221.06 28 282.1 0
1803 3 4.2 -7.3 367.13 45.9 282.45 0
1803 4 14.3 3 398.66 60.6 282.69 0
1803 5 17.8 6.8 487.22 163 282.64 0
1803 6 23.3 12.9 392.4 152.5 281.92 0
1803 7 26 16 497.05 131.8 280.28 0
1803 8 24.2 11.8 437.54 50.5 278.68 0
1803 9 18.7 9.2 345.15 106.2 278.65 0
1803 10 11.8 3.1 221.82 110.5 279.69 0
1803 11 4.5 -3.9 130.1 107.3 280.7 0
1803 12 -1.1 -7.4 67.1 48.7 281.34 0
1804 1 -6.3 -16.3 135.43 103.4 281.81 0
1804 2 -6.1 -14.8 205.53 71.6 282.2 0
1804 3 3.5 -3.9 354.39 104.1 282.54 0
1804 4 11.3 1.6 462.05 51.6 282.78 0
1804 5 20.5 8.3 491.23 82 282.73 0
1804 6 24.4 12.3 470.2 93.7 282 0
1804 7 25.3 13 502.88 84.8 280.37 0
1804 8 24.8 11.1 461.54 58.9 278.77 0
1804 9 21.2 8.9 336.56 151.9 278.73 0
1804 10 15.1 2.6 194.04 79.8 279.77 0
1804 11 5.3 -3.4 93.94 84.3 280.78 0
1804 12 -6.7 -14.4 94.17 78 281.42 0
1805 1 -6 -17.1 136.98 115.1 281.88 0
1805 2 -5.9 -17.6 190.02 28.5 282.27 0
1805 3 1.7 -7.8 360.2 54.3 282.61 0
1805 4 13.5 2.4 331.73 44 282.85 0
1805 5 18.8 7.7 514.53 130.3 282.8 0
1805 6 21.2 9.9 432.55 100.6 282.08 0
1805 7 23.9 13.6 438.73 106 280.44 0
1805 8 23 12.7 451.94 129.9 278.84 0
1805 9 17.5 8.1 265.81 145.1 278.81 0
1805 10 11.6 3.4 187.44 68.6 279.85 0
1805 11 2.8 -4.5 107.11 75.7 280.86 0
1805 12 -1.8 -11.4 71.09 69.2 281.51 0
1806 1 -7.6 -17.7 122.94 140.4 281.97 0
1806 2 -5.1 -17.4 187.47 103.6 282.36 0
1806 3 -0.9 -12.6 338.1 74 282.7 0
1806 4 7.7 -3.5 467.33 57.6 282.95 0
1806 5 14.2 3.6 479.08 79.8 282.89 0
1806 6 24.3 10.7 501.68 74.8 282.17 0
1806 7 25.1 13.6 493.6 108.6 280.53 0
1806 8 23.2 11.1 483.06 120.8 278.93 0
1806 9 18.5 8.4 371.01 76 278.9 0
1806 10 12.5 1.2 184.32 50.8 279.94 0
1806 11 3.6 -5 109.07 90.8 280.94 0
1806 12 -3.9 -14.4 81.54 76.5 281.59 0
1807 1 -6.4 -17.6 124.28 53.1 282.05 0
1807 2 -2.4 -12.6 182.24 50.3 282.44 0
1807 3 -0.7 -11.8 342.3 82.6 282.78 0
1807 4 15.2 0.5 430.22 47 283.03 0
1807 5 19.7 5.1 371.9 52.1 282.98 0
1807 6 25.7 11.8 550.92 62 282.25 0
1807 7 27.6 14.9 511.8 91.4 280.62 0
1807 8 23.6 11.8 434.96 124.7 279.02 0
1807 9 20.6 8.8 271.48 89.7 278.99 0
1807 10 11.4 1.7 238.92 134.1 280.03 0
1807 11 5.7 -3.1 116.58 80 281.04 0
1807 12 -1.5 -12.1 100.6 81.3 281.68 0
1808 1 -9.6 -21.2 119.75 47.8 282.15 0
1808 2 -4.5 -15.3 178.9 110.5 282.54 0
1808 3 0.2 -10.5 330.12 78.7 282.88 0
1808 4 7.4 -2.6 382.24 40.9 283.12 0
1808 5 18.2 5.5 389.12 80.8 283.07 0
1808 6 23.3 9.5 490.9 75.7 282.34 0
1808 7 24.8 12.9 508.63 144 280.7 0
1808 8 22.9 12.2 449.69 241.3 279.1 0
1808 9 20.7 10.6 277.86 76.2 279.07 0
1808 10 15.1 4.9 157.07 69.9 280.11 0
1808 11 2.9 -5.3 100.93 77.2 281.11 0
