Year Month Tmax Tmin PAR Prec CO2 O3
1800 1 -8.3 -19.2 135.43 104.4 281.48 0
1800 2 -1.7 -11.8 205.53 102.6 281.87 0
1800 3 1.9 -8.1 354.39 119.1 282.21 0
1800 4 12.1 1.4 462.05 64.5 282.46 0
1800 5 17.6 6 491.23 142.5 282.4 0
1800 6 25.4 14.7 470.2 128.8 281.68 0
1800 7 24.6 14.2 502.88 208.5 280.04 0
1800 8 24.2 14.3 461.54 85.1 278.44 0
1800 9 18.4 8.7 336.56 103.4 278.41 0
1800 10 10.5 1.1 194.04 125 279.45 0
1800 11 2 -3.2 93.94 57.2 280.46 0
1800 12 -6.6 -16.5 94.17 95 281.1 0
1801 1 -8.3 -18 136.98 127.1 281.57 0
1801 2 -8.1 -19.5 190.02 13.5 281.95 0
1801 3 -1.3 -12 360.2 44.3 282.3 0
1801 4 7.4 -3 331.73 57.9 282.54 0
1801 5 22.1 6.4 514.53 22 282.49 0
1801 6 22.8 10.8 432.55 89.9 281.76 0
1801 7 25.7 12.6 438.73 61.1 280.13 0
1801 8 24 11.7 451.94 111.6 278.53 0
1801 9 16.7 3.7 265.81 62.3 278.49 0
1801 10 10.4 1.1 187.44 83.1 279.54 0
1801 11 4.2 -7.3 107.11 70.3 280.54 0
1801 12 -3.8 -15.3 71.09 56.9 281.18 0
1802 1 -4.8 -16.4 122.94 114.3 281.65 0
1802 2 -6.1 -15.6 187.47 124.2 282.03 0
1802 3 4.2 -5.7 338.1 92.5 282.38 0
1802 4 11.3 0.4 467.33 95.3 282.62 0
1802 5 20.8 8.8 479.08 77.7 282.57 0
1802 6 23.1 11.5 501.68 101.9 281.84 0
1802 7 24.2 13.3 493.6 73.9 280.2 0
1802 8 23.7 12.2 483.06 64 278.6 0
1802 9 21.1 8.9 371.01 150.6 278.57 0
1802 10 14.3 3.6 184.32 78.5 279.61 0
1802 11 5.8 -3.9 109.07 81.3 280.61 0
1802 12 -5.4 -15.4 81.54 115.3 281.25 0
1803 1 -6.6 -16.6 145.56 74 281.72 0
1803 2 -3.2 -13.7 221.06 61.4 282.1 0
1803 3 4.1 -3.7 367.13 50 282.45 0
1803 4 8.8 0.5 398.66 113.2 282.69 0
1803 5 18.2 7 487.22 194 282.64 0
1803 6 21.9 11.9 392.4 135.5 281.92 0
1803 7 24.7 13.9 497.05 65.4 280.28 0
1803 8 24.5 14 437.54 74.4 278.68 0
1803 9 18.7 8.7 345.15 133.6 278.65 0
1803 10 13.8 4 221.82 42.8 279.69 0
1803 11 5.1 -0.8 130.1 38.6 280.7 0
1803 12 -5.7 -13.8 67.1 123.4 281.34 0
1804 1 -7.2 -16.8 135.43 51.6 281.81 0
1804 2 -3.4 -15.2 205.53 67.1 282.2 0
1804 3 0.2 -9.4 354.39 164.1 282.54 0
1804 4 11.6 1.2 462.05 51.6 282.78 0
1804 5 19.9 8.9 491.23 117.6 282.73 0
1804 6 25.1 12.7 470.2 41.4 282 0
1804 7 30.1 15.9 502.88 46 280.37 0
1804 8 26.8 15.7 461.54 169.2 278.77 0
1804 9 19.7 8.1 336.56 166.1 278.73 0
1804 10 14 3.7 194.04 81.5 279.77 0
1804 11 4.5 -2.7 93.94 53.3 280.78 0
1804 12 -6.4 -16 94.17 45.2 281.42 0
1805 1 -5.5 -18 136.98 166.4 281.88 0
1805 2 -5.2 -18 190.02 32.5 282.27 0
1805 3 3 -9.7 360.2 87.7 282.61 0
1805 4 12.8 0.5 331.73 69.3 282.85 0
1805 5 17.2 5.4 514.53 117.3 282.8 0
1805 6 19.3 7.7 432.55 166 282.08 0
1805 7 22 12.4 438.73 108.4 280.44 0
1805 8 21.1 11.3 451.94 194 278.84 0
1805 9 16.1 6 265.81 122.6 278.81 0
1805 10 10.2 1.1 187.44 79.2 279.85 0
1805 11 1.4 -6.8 107.11 117.6 280.86 0
1805 12 -2.3 -12.1 71.09 57.4 281.51 0
1806 1 -4.5 -13.3 122.94 59.7 281.97 0
1806 2 -3.4 -14.9 187.47 47.2 282.36 0
1806 3 -1.6 -13.3 338.1 59.2 282.7 0
1806 4 7.9 -1.6 467.33 70.9 282.95 0
1806 5 13.8 1.8 479.08 122.7 282.89 0
1806 6 22.1 10.8 501.68 81.8 282.17 0
1806 7 23.1 11.6 493.6 119.4 280.53 0
1806 8 22.8 10.8 483.06 112.5 278.93 0
1806 9 17.1 5.9 371.01 100.1 278.9 0
1806 10 14 2.3 184.32 64.3 279.94 0
1806 11 5.7 -4 109.07 40.9 280.94 0
1806 12 -2.2 -13.1 81.54 37.3 281.59 0
1807 1 -8.5 -19.4 124.28 65.5 282.05 0
1807 2 -2.8 -14.6 182.24 93.7 282.44 0
1807 3 -0.8 -12.1 342.3 103.9 282.78 0
1807 4 6.1 -4.4 430.22 104.1 283.03 0
1807 5 18.3 6.1 371.9 89.4 282.98 0
1807 6 23.7 11.5 550.92 139.2 282.25 0
1807 7 26.6 14.2 511.8 85.6 280.62 0
1807 8 23.8 12.9 434.96 139.2 279.02 0
1807 9 19.7 8.2 271.48 66.3 278.99 0
1807 10 13.5 3.6 238.92 137.7 280.03 0
1807 11 3.6 -3.6 116.58 90.9 281.04 0
1807 12 -5.9 -14.8 100.6 81 281.68 0
1808 1 -8.5 -20.2 119.75 46.2 282.15 0
1808 2 -3.9 -16.7 178.9 82 282.54 0
1808 3 0.1 -13.1 330.12 94.7 282.88 0
1808 4 5.4 -5.3 382.24 79.2 283.12 0
1808 5 17.7 5.7 389.12 85.3 283.07 0
1808 6 22.8 11.3 490.9 174.8 282.34 0
1808 7 26.1 13.7 508.63 74.2 280.7 0
1808 8 23.6 10.4 449.69 169.4 279.1 0
1808 9 18.5 7 277.86 44.2 279.07 0
1808 10 12.9 3.4 157.07 114 280.11 0
1808 11 5.1 -2.5 100.93 87.9 281.11 0
1808 12 -5.1 -18.1 80.28 44.5 281.75 0
1809 1 -4.7 -15.4 149.48 68.5 282.21 0
1809 2 -1 -11.3 225.44 23 282.6 0
1809 3 1.5 -7.6 322.93 64 282.94 0
1809 4 12.5 0.9 363.61 52.5 283.19 0
1809 5 22.5 9.6 442.75 62.7 283.14 0
1809 6 23.8 12.5 535.76 82 282.41 0
1809 7 25.1 14.1 471.18 128.4 280.77 0
1809 8 25 13.1 409.29 78.8 279.18 0
1809 9 20.2 9.1 332.54 43.8 279.14 0
1809 10 12.8 4 210.47 60.7 280.18 0
1809 11 5.1 -0.7 103.89 49.6 281.19 0
1809 12 -0.1 -8.1 89.16 67 281.83 0
1810 1 -9.3 -21.4 122.94 63.5 282.3 0
1810 2 -1.6 -11.9 187.47 78.5 282.69 0
