LandisData PnETSpeciesParameters
PnETSpeciesParameters	FolN	SLWmax  HalfSat	 FracFol	KWdLit	 FolLignin	H3	H4		SLWDel	TOfol	AmaxA	AmaxB	PsnTMin		PsnTOpt		k		FracBelowG	FrActWd   PsnTMax
abiebals				0.76	215		100	     0.08		0.125	 0.25		105	145		0		0.25	5.3		21.5	2			19			0.5		0.3			0.00002     36               
acerrubr				1.61 	80		137	     0.03		0.081	 0.11		111	152		0.2		1		-46		71.9	4			26			0.58	0.3			0.00004     48 
acersacc				1.53 	70		100	     0.03		0.075	 0.11		105	145		0.2		1		-46		71.9	2			23			0.58	0.4			0.00004     44
betualle				1.77 	80		175	     0.03		0.075	 0.11		105	145		0.2		1		-46		71.9	3			21			0.58	0.4			0.00004     39
betupapy				1.60 	80		210	     0.03		0.075	 0.11		105	145		0.2		1		-46		71.9	3			21			0.58	0.3			0.00004     39
betupopu				1.60 	80		210	     0.03		0.075	 0.11		105	145		0.2		1		-46		71.9	3			21			0.58	0.4			0.00004     39
fagugran				1.40 	80		100	     0.03		0.075	 0.24		111	152		0.2		1		-46		71.9	2			23			0.58	0.4			0.00004     44
fraxamer				1.90 	85		180	     0.03		0.075	 0.12		111	152		0.2		1		-46		71.9	3			25			0.58	0.4			0.00004     47 
larilari				1.30 	110		213	     0.12		0.125	 0.25		118	160		0		1		5.3		21.5	1			20			0.58	0.4			0.00004     39
piceabie				1.20 	220		137	     0.10		0.150	 0.25		105	143		0		0.11 	5.3		21.5 	0			17			0.5		0.3			0.00004     34
piceglau				0.95 	250		137	     0.08		0.125	 0.25		111	152		0		0.25	5.3		21.5	2			20			0.5		0.3			0.00002     38
picemari				0.50 	250		137	     0.1		0.125	 0.25		118	160		0		0.25	5.3		21.5	2			20			0.5		0.3			0.00002     38
picerube				0.50 	250		137	     0.08		0.125	 0.25		118	160		0		0.25 	5.3		21.5 	2			20			0.5		0.3			0.00002     38
pinuresi				1.20 	250		230	     0.12		0.125	 0.25		118	160		0		0.3333	5.3		21.5	3			21			0.5		0.4			0.00005     39
pinustro				1.40	235		200	     0.09		0.125	 0.25		118	160		0		0.5		5.3		21.5	3			21			0.5		0.4			0.00004     39
popugran				1.90	95		250	     0.03		0.107	 0.16		100	140		0.2		1		-46		71.9	2			22			0.58	0.3			0.00004     42
poputrem				1.95 	95		250	     0.03		0.107	 0.16		100	140		0.2		1		-46		71.9	2			22			0.58	0.3			0.00004     42  
thujocci				0.70 	200		150	     0.10		0.125	 0.25		105	145		0		0.5		5.3		21.5	3			20			0.5		0.4			0.00005     37
tsugcana				0.95  	170		100	     0.06		0.024	 0.25		105	145		0		0.3333	5.3		21.5	3			21			0.5		0.3			0.00005     39
