LandisData  Species

>>                      				        									
>>species   Longevity   sex_Maturity  	shade_Tol.  fire_Tol.  	seed_disper_Effective  	seed_disp_Maximum  veg_ReprodProb   sprout_age_Min  sprout_age_Max   	post_fire_Regen
abiebals	200			25				5			1			30						160					0				0				0					none
acerrubr	235			5				4			1			100						200					0.75			0				150					none
acersacc	300			40				5			1			100						200					0.1				0				60					none
betualle	300			40				3			2			100						400					0.1				0				180					none
betupapy	150			40				4			2			100						600					0.75			0				150					none
betupopu	150			40				4			2			100						400					0.1				0				0					none
fagugran	300			10				5			1			30						300					0.7				10				200					resprout
fraxamer	300			30				2			1			70						140					0.1				0				70					none
larilari	180			35				2			2			100						400					0.2				0				0					none
piceabie    350			40				4			1			60						150					0				0				0					none
piceglau	300			25				3			2			30						200					0				0				0					none 
picemari	215			30				3			3			79						158					0				0				0					none
picerube	350			15				5			2			80						125					0				0				0					none
pinuresi	250			15				2			4			100						275					0.1				0				20					none 
pinustro	400			25				3			3			60						210					0				0				0					none
popugran	110			20				1			1			1000					5000				0.9				0				100					resprout
poputrem	110			20				1			1			1000					5000				0.9				0				100					resprout
thujocci	800			30				2			1			45						100					0.5				0				200					none
tsugcana	500			20				5			2			30						100					0				0				0					none
